Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Condition,Google Shopping / Custom Product,Variant Weight Unit,Status
dragonfly-botanical-leather-journal,Dragonfly Botanical Leather Journal,"<p>A timeless cottagecore diary bound in supple forest-moss leather, stamped with gold-foil dragonfly flora, and tied with an antique brass key.</p><ul><li><strong>Material:</strong> Vegetable-tanned artisanal leather with antique burnished patina</li><li><strong>Paper:</strong> 150 GSM handmade cotton rag with raw deckle edges (Zero Bleed)</li><li><strong>Pages:</strong> 200 unlined pages (100 sheets)</li><li><strong>Closure:</strong> Wrap leather cord with antique bronze skeleton key</li></ul><p><em>Small-batch handcrafted stationery by journaly.</em></p>",journaly,Office Supplies > General Supplies > Paper Products > Notebooks & Notepads,Leather Journals,"creative journal, handcrafted, leather journal, deckle edge, cottagecore, dorm stationery, fountain pen friendly",TRUE,Size,Classic A5,Ruling,5mm Dot Grid,,,JRN-DRA-A5-DOT,450,shopify,25,deny,manual,1499.00,2499.00,TRUE,TRUE,,https://raw.githubusercontent.com/notSaiful/girlinpink/main/public/products/journals/dragonfly_botanical_leather.jpg,1,Dragonfly Botanical Leather Journal,FALSE,Dragonfly Botanical Leather Journal | Handcrafted Deckle Edge — journaly,Hand-bound forest moss leather journal stamped with gold dragonfly and filled with 150 GSM archival bleed-proof cotton deckle paper.,new,FALSE,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Classic A5,Ruling,7mm College Ruled,,,JRN-DRA-A5-RUL,450,shopify,25,deny,manual,1499.00,2499.00,TRUE,TRUE,,,,,,,,,,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Classic A5,Ruling,Blank Deckle Cotton,,,JRN-DRA-A5-DEC,450,shopify,25,deny,manual,1599.00,2599.00,TRUE,TRUE,,,,,,,,,,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Pocket B6,Ruling,5mm Dot Grid,,,JRN-DRA-B6-DOT,280,shopify,25,deny,manual,1349.00,2349.00,TRUE,TRUE,,,,,,,,,,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Pocket B6,Ruling,7mm College Ruled,,,JRN-DRA-B6-RUL,280,shopify,25,deny,manual,1349.00,2349.00,TRUE,TRUE,,,,,,,,,,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Pocket B6,Ruling,Blank Deckle Cotton,,,JRN-DRA-B6-DEC,280,shopify,25,deny,manual,1449.00,2449.00,TRUE,TRUE,,,,,,,,,,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Grand A4,Ruling,5mm Dot Grid,,,JRN-DRA-A4-DOT,680,shopify,25,deny,manual,1849.00,2849.00,TRUE,TRUE,,,,,,,,,,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Grand A4,Ruling,7mm College Ruled,,,JRN-DRA-A4-RUL,680,shopify,25,deny,manual,1849.00,2849.00,TRUE,TRUE,,,,,,,,,,g,active
dragonfly-botanical-leather-journal,,,,,,,,Size,Grand A4,Ruling,Blank Deckle Cotton,,,JRN-DRA-A4-DEC,680,shopify,25,deny,manual,1949.00,2949.00,TRUE,TRUE,,,,,,,,,,g,active
vintage-lace-junk-journal,Vintage Lace Junk Journal Keepsake,"<p>A romantic Victorian shabby chic scrapbook journal wrapped in tea-stained heirloom lace, vintage floral cotton, and dusty rose ribbon.</p><ul><li><strong>Material:</strong> Quilted floral cotton with layered tea-dyed antique lace and ribbon tie</li><li><strong>Paper:</strong> Mixed media tea-stained paper, parchment & vellum (120–160 GSM)</li><li><strong>Pages:</strong> 80 interactive scrapbook pages with 12 ephemera pockets & tags</li><li><strong>Closure:</strong> Dusty rose torn-edge silk ribbon bow</li></ul><p><em>Small-batch handcrafted stationery by journaly.</em></p>",journaly,Office Supplies > General Supplies > Paper Products > Notebooks & Notepads,Junk Journals,"junk journal, vintage lace, scrapbook, keepsake, ephemera, aesthetic dorm, memory keeping",TRUE,Size,Classic A5,Ruling,5mm Dot Grid,,,JRN-VIN-A5-DOT,450,shopify,25,deny,manual,1399.00,2299.00,TRUE,TRUE,,https://raw.githubusercontent.com/notSaiful/girlinpink/main/public/products/journals/vintage_lace_junk_journal.jpg,1,Vintage Lace Junk Journal Keepsake,FALSE,Vintage Lace Junk Journal Keepsake | Heirloom Scrapbook — journaly,"Handcrafted Victorian junk journal with tea-dyed lace, 12 ephemera pockets, vellum envelopes, and silk ribbon closure.",new,FALSE,g,active
vintage-lace-junk-journal,,,,,,,,Size,Classic A5,Ruling,7mm College Ruled,,,JRN-VIN-A5-RUL,450,shopify,25,deny,manual,1399.00,2299.00,TRUE,TRUE,,,,,,,,,,g,active
vintage-lace-junk-journal,,,,,,,,Size,Classic A5,Ruling,Blank Deckle Cotton,,,JRN-VIN-A5-DEC,450,shopify,25,deny,manual,1499.00,2399.00,TRUE,TRUE,,,,,,,,,,g,active
